MAIN_ID,ANG_DIST,OTYPE,hour,min,sec,ra,deg,arcmin,arcsec,dec,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,RA_d,DEC_d,PMRA,PMDEC,PMRA_PREC,PMDEC_PREC,PM_ERR_MAJA,PM_ERR_MINA,PM_ERR_ANGLE,PM_QUAL,PM_BIBCODE,FILTER_NAME_B,FLUX_B,FLUX_ERROR_B,FLUX_SYSTEM_B,FLUX_BIBCODE_B,FLUX_VAR_B,FLUX_MULT_B,FLUX_QUAL_B,FLUX_UNIT_B,FILTER_NAME_V,FLUX_V,FLUX_ERROR_V,FLUX_SYSTEM_V,FLUX_BIBCODE_V,FLUX_VAR_V,FLUX_MULT_V,FLUX_QUAL_V,FLUX_UNIT_V,FILTER_NAME_R,FLUX_R,FLUX_ERROR_R,FLUX_SYSTEM_R,FLUX_BIBCODE_R,FLUX_VAR_R,FLUX_MULT_R,FLUX_QUAL_R,FLUX_UNIT_R,FILTER_NAME_J,FLUX_J,FLUX_ERROR_J,FLUX_SYSTEM_J,FLUX_BIBCODE_J,FLUX_VAR_J,FLUX_MULT_J,FLUX_QUAL_J,FLUX_UNIT_J,FILTER_NAME_H,FLUX_H,FLUX_ERROR_H,FLUX_SYSTEM_H,FLUX_BIBCODE_H,FLUX_VAR_H,FLUX_MULT_H,FLUX_QUAL_H,FLUX_UNIT_H,FILTER_NAME_K,FLUX_K,FLUX_ERROR_K,FLUX_SYSTEM_K,FLUX_BIBCODE_K,FLUX_VAR_K,FLUX_MULT_K,FLUX_QUAL_K,FLUX_UNIT_K,RVZ_TYPE,RVZ_RADVEL,RVZ_ERROR,RVZ_QUAL,RVZ_WAVELENGTH,RVZ_BIBCODE,SP_TYPE,SP_QUAL,SP_BIBCODE,MORPH_TYPE,MORPH_QUAL,MORPH_BIBCODE,GALDIM_MAJAXIS,GALDIM_MINAXIS,GALDIM_ANGLE,GALDIM_QUAL,GALDIM_WAVELENGTH,GALDIM_BIBCODE,BIBLIST,
2MASS J04350198+4100472,2513.23,RGB*,4,35,1.9831,68.75826292,41,0,47.288,41.01313556,14,14,0.0273,0.0228,90,A,O,2018yCat.1345....0G,68.75826294,41.01313561,1.744,-2.198,3,3,0.062,0.043,90,A,2018yCat.1345....0G,,,,,,,,,,,,,,,,,,,,,,,,,,,,J,12.26,0.025,Vega,2003yCat.2246....0C,,,C,J,H,11.647,0.024,Vega,2003yCat.2246....0C,,,C,H,K,11.508,0.018,Vega,2003yCat.2246....0C,,,C,K,,,,,,,,,,,,,,,,,,,3,
2MASS J04360824+4140254,2514.71,RGB*,4,36,8.2479,69.03436625,41,40,25.421,41.67372806,14,14,0.0289,0.0222,90,A,O,2018yCat.1345....0G,69.03436643,41.67372816,1.596,-1.16,3,3,0.059,0.033,90,A,2018yCat.1345....0G,,,,,,,,,,,,,,,,,,,,,,,,,,,,J,11.75,0.021,Vega,2003yCat.2246....0C,,,C,J,H,11.09,0.018,Vega,2003yCat.2246....0C,,,C,H,K,10.914,0.018,Vega,2003yCat.2246....0C,,,C,K,,,,,,,,,,,,,,,,,,,3,
2MASX J04385713+4151266,2522.23,Galaxy,4,38,57.132,69.73805,41,51,26.68,41.85741111,7,7,,,,C,I,2006AJ....131.1163S,69.73805,41.857411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J,14.528,0.171,Vega,2006AJ....131.1163S,,,D,J,H,13.887,0.222,Vega,2006AJ....131.1163S,,,D,H,K,13.097,0.191,Vega,2006AJ....131.1163S,,,D,K,,,,,,,,,,,,,0.193,0.143,60,C,N,2006AJ....131.1163S,3,
2MASS J04392947+4028342,2522.99,RGB*,4,39,29.4638,69.87276583,40,28,34.27,40.47618611,14,14,0.0333,0.0256,90,A,O,2018yCat.1345....0G,69.87276599,40.4761862,0.717,0.466,3,3,0.063,0.038,90,A,2018yCat.1345....0G,,,,,,,,,,,,,,,,,,,,,,,,,,,,J,12.263,0.02,Vega,2003yCat.2246....0C,,,C,J,H,11.584,0.017,Vega,2003yCat.2246....0C,,,C,H,K,11.366,0.018,Vega,2003yCat.2246....0C,,,C,K,,,,,,,,,,,,,,,,,,,3,
2MASX J04422197+4105318,2526.59,Galaxy,4,42,21.971,70.59154583,41,5,31.9,41.09219444,7,7,,,,C,I,2006AJ....131.1163S,70.591546,41.092194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J,14.442,0.131,Vega,2006AJ....131.1163S,,,D,J,H,13.516,0.127,Vega,2006AJ....131.1163S,,,D,H,K,13.114,0.161,Vega,2006AJ....131.1163S,,,D,K,,,,,,,,,,,,,0.26,0.12,95,C,N,2006AJ....131.1163S,3,
LP  201-88,2527.32,PM*,4,39,32.038,69.88349167,40,28,36.754,40.47687611,14,14,0.0376,0.0324,90,A,O,2018yCat.1345....0G,69.88349186,40.47687627,156.333,-11.649,3,3,0.084,0.052,90,A,2018yCat.1345....0G,B,17.2,,Vega,2003AJ....125..984M,,,E,B,,,,,,,,,,R,15.4,,Vega,2003AJ....125..984M,,,E,R,J,12.674,0.023,Vega,2003yCat.2246....0C,,,C,J,H,12.083,0.019,Vega,2003yCat.2246....0C,,,C,H,K,11.879,0.019,Vega,2003yCat.2246....0C,,,C,K,,,,,,,,,,,,,,,,,,,3,
TYC 2897-2075-1,2534.81,Star,4,40,18.9849,70.07910375,40,31,43.504,40.52875111,14,14,0.0371,0.0318,90,A,O,2018yCat.1345....0G,70.07910404,40.52875121,5.728,-0.418,3,3,0.081,0.051,90,A,2018yCat.1345....0G,B,12.74,0.32,Vega,2000A&A...355L..27H,,,D,B,V,11.78,0.19,Vega,2000A&A...355L..27H,,,D,V,,,,,,,,,,J,10.613,0.018,Vega,2003yCat.2246....0C,,,C,J,H,10.328,0.016,Vega,2003yCat.2246....0C,,,C,H,K,10.278,0.02,Vega,2003yCat.2246....0C,,,C,K,v,-1.97,1.1,B,O,2018yCat.1345....0G,,,,,,,,,,,,,0,
HD 276695,2535.05,Star,4,42,0.2805,70.50116875,41,28,34.091,41.47613639,14,14,0.0683,0.0692,90,A,O,2018yCat.1345....0G,70.50116891,41.47613663,-1.518,-2.417,3,3,0.748,2.096,90,A,2016A&A...595A...2G,B,10.53,0.05,Vega,2000A&A...355L..27H,,,D,B,V,10.13,0.05,Vega,2000A&A...355L..27H,,,D,V,,,,,,,,,,J,9.335,0.02,Vega,2003yCat.2246....0C,,,C,J,H,9.25,0.015,Vega,2003yCat.2246....0C,,,C,H,K,9.201,0.016,Vega,2003yCat.2246....0C,,,C,K,,,,,,,B5,E,1995A&AS..110..367N,,,,,,,,,,2,
HD  29607,2537.58,Star,4,41,42.2287,70.42595292,41,34,16.219,41.57117194,14,14,0.0396,0.0326,90,A,O,2018yCat.1345....0G,70.42595323,41.57117215,20.23,-45.064,3,3,0.083,0.055,90,A,2018yCat.1345....0G,B,9.3,0.03,Vega,2000A&A...355L..27H,,,D,B,V,8.82,0.02,Vega,2000A&A...355L..27H,,,D,V,,,,,,,,,,J,8.028,0.02,Vega,2003yCat.2246....0C,,,C,J,H,7.837,0.02,Vega,2003yCat.2246....0C,,,C,H,K,7.815,0.029,Vega,2003yCat.2246....0C,,,C,K,v,16.75,0.36,A,O,2018yCat.1345....0G,F5,E,1993yCat.3135....0C,,,,,,,,,,3,
2MASS J04350864+4054562,2540.06,HB*,4,35,8.6458,68.78602417,40,54,56.298,40.91563833,14,14,0.0317,0.0239,90,A,O,2018yCat.1345....0G,68.78602419,40.91563857,0.507,-0.694,3,3,0.068,0.044,90,A,2018yCat.1345....0G,,,,,,,,,,,,,,,,,,,,,,,,,,,,J,12.017,0.023,Vega,2003yCat.2246....0C,,,C,J,H,11.369,0.021,Vega,2003yCat.2246....0C,,,C,H,K,11.225,0.016,Vega,2003yCat.2246....0C,,,C,K,,,,,,,,,,,,,,,,,,,3,
Gaia DR2 203911032738675200,2540.82,Star,4,34,55.1438,68.72976583,41,13,14.549,41.22070806,14,14,0.0569,0.0452,90,A,O,2018yCat.1345....0G,68.72976592,41.2207082,2.662,-4.142,3,3,0.125,0.079,90,A,2018yCat.1345....0G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
Gaia DR2 203139652315617664,2540.96,Candidate_WD*,4,42,17.433,70.5726375,40,59,18.875,40.98857639,14,14,0.211,0.1584,90,A,O,2018yCat.1345....0G,70.57263753,40.98857643,-13.016,-4.234,3,3,0.425,0.255,90,A,2018yCat.1345....0G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
ATO J070.2913+41.6855,2541.86,V*,4,41,9.9222,70.2913425,41,41,8.063,41.68557306,14,14,0.0911,0.0987,90,A,O,2018yCat.1345....0G,70.29134288,41.68557333,0.607,0.926,3,3,0.193,0.164,90,A,2018yCat.1345....0G,B,14.884,0.1,Vega,2012yCat.1322....0Z,,,D,B,V,12.611,0.08,Vega,2012yCat.1322....0Z,,,D,V,R,12.141,0.19,Vega,2012yCat.1322....0Z,,,E,R,J,7.644,0.021,Vega,2003yCat.2246....0C,,,C,J,H,6.617,0.018,Vega,2003yCat.2246....0C,,,C,H,K,6.254,0.018,Vega,2003yCat.2246....0C,,,C,K,v,0.01,0.59,A,O,2018yCat.1345....0G,,,,,,,,,,,,,1,
2MASS J04364731+4032465,2545.94,HB*,4,36,47.3159,69.19714958,40,32,46.586,40.54627389,14,14,0.0321,0.0249,90,A,O,2018yCat.1345....0G,69.19714977,40.54627402,-2.649,-1.747,3,3,0.069,0.04,90,A,2018yCat.1345....0G,,,,,,,,,,,,,,,,,,,,,,,,,,,,J,12.369,0.019,Vega,2003yCat.2246....0C,,,C,J,H,11.708,0.019,Vega,2003yCat.2246....0C,,,C,H,K,11.534,0.022,Vega,2003yCat.2246....0C,,,C,K,,,,,,,,,,,,,,,,,,,3,
HD 276650,2546.13,Star,4,39,26.9536,69.86230667,40,28,4.174,40.46782611,14,14,0.0367,0.0306,90,A,O,2018yCat.1345....0G,69.86230706,40.4678262,-4.851,-5.504,3,3,0.073,0.048,90,A,2018yCat.1345....0G,B,10.73,0.05,Vega,2000A&A...355L..27H,,,D,B,V,10.27,0.05,Vega,2000A&A...355L..27H,,,D,V,,,,,,,,,,J,9.148,0.018,Vega,2003yCat.2246....0C,,,C,J,H,8.982,0.017,Vega,2003yCat.2246....0C,,,C,H,K,8.897,0.019,Vega,2003yCat.2246....0C,,,C,K,,,,,,,F5,E,1995A&AS..110..367N,,,,,,,,,,2,
HD 276714,2552.16,Star,4,40,45.9333,70.19138875,40,34,22.249,40.57284694,14,14,0.0519,0.0472,90,A,O,2018yCat.1345....0G,70.19138882,40.57284711,6.614,-6.79,3,3,0.122,0.077,90,A,2018yCat.1345....0G,B,11.7,,Vega,,,,E,B,V,10.8,,Vega,,,,E,V,,,,,,,,,,J,9.443,0.02,Vega,2003yCat.2246....0C,,,C,J,H,9.179,0.019,Vega,2003yCat.2246....0C,,,C,H,K,9.057,0.016,Vega,2003yCat.2246....0C,,,C,K,v,7.96,0.82,A,O,2018yCat.1345....0G,G,E,1995A&AS..110..367N,,,,,,,,,,2,
IRAS 04389+4103,2556.31,Star,4,42,25.6952,70.60706333,41,8,58.423,41.14956194,14,14,0.0682,0.0545,90,A,O,2018yCat.1345....0G,70.60706373,41.14956204,1.717,-1.824,3,3,0.144,0.093,90,A,2018yCat.1345....0G,B,12.07,0.29,Vega,2000A&A...355L..27H,,,D,B,V,10.92,0.14,Vega,2000A&A...355L..27H,,,D,V,,,,,,,,,,J,6.117,0.019,Vega,2003yCat.2246....0C,,,C,J,H,5.124,0.023,Vega,2003yCat.2246....0C,,,C,H,K,4.79,0.018,Vega,2003yCat.2246....0C,,,C,K,v,2.12,1.03,B,O,2018yCat.1345....0G,,,,,,,,,,,,,0,
HD 276709,2566.77,Star,4,41,42.5343,70.42722625,40,44,21.594,40.73933167,14,14,0.0496,0.051,90,A,O,2018yCat.1345....0G,70.42722643,40.73933179,15.226,-9.046,3,3,0.11,0.086,90,A,2018yCat.1345....0G,B,11.8,0.14,Vega,2000A&A...355L..27H,,,D,B,V,11,0.1,Vega,2000A&A...355L..27H,,,D,V,,,,,,,,,,J,9.54,0.02,Vega,2003yCat.2246....0C,,,C,J,H,9.276,0.019,Vega,2003yCat.2246....0C,,,C,H,K,9.164,0.016,Vega,2003yCat.2246....0C,,,C,K,v,57.68,0.95,B,O,2018yCat.1345....0G,F8,E,1995A&AS..110..367N,,,,,,,,,,2,
Gaia DR2 203202358839364352,2578.26,Candidate_RRLyr,4,42,8.676,70.53615,41,26,54.011,41.44833639,14,14,0.2284,0.226,90,A,O,2018yCat.1345....0G,70.53615011,41.44833656,3.064,-1.298,3,3,0.501,0.385,90,A,2018yCat.1345....0G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
HD 276700,2579.03,Star,4,42,27.6996,70.615415,41,10,38.526,41.17736833,14,14,0.0681,0.0522,90,A,O,2018yCat.1345....0G,70.61541532,41.17736849,11.358,8.12,3,3,0.128,0.086,90,A,2018yCat.1345....0G,B,11.1,0.08,Vega,2000A&A...355L..27H,,,D,B,V,10.45,0.06,Vega,2000A&A...355L..27H,,,D,V,,,,,,,,,,J,8.986,0.018,Vega,2003yCat.2246....0C,,,C,J,H,8.791,0.019,Vega,2003yCat.2246....0C,,,C,H,K,8.666,0.017,Vega,2003yCat.2246....0C,,,C,K,,,,,,,A3,E,1995A&AS..110..367N,,,,,,,,,,3,
HD 276611,2591.09,Star,4,36,38.6228,69.16092833,41,46,19.525,41.77209028,14,14,0.0445,0.039,90,A,O,2018yCat.1345....0G,69.16092873,41.77209055,-3.479,-7.988,3,3,4.924,3.771,90,A,2016A&A...595A...2G,B,11.25,0.1,Vega,2000A&A...355L..27H,,,D,B,V,11.2,0.14,Vega,2000A&A...355L..27H,,,D,V,,,,,,,,,,J,9.759,0.019,Vega,2003yCat.2246....0C,,,C,J,H,9.547,0.015,Vega,2003yCat.2246....0C,,,C,H,K,9.459,0.015,Vega,2003yCat.2246....0C,,,C,K,,,,,,,A0,E,1995A&AS..110..367N,,,,,,,,,,2,
2MASS J04411185+4142073,2600.42,HB*,4,41,11.8452,70.299355,41,42,7.314,41.70203167,14,14,0.029,0.0243,90,A,O,2018yCat.1345....0G,70.29935523,41.70203182,0.843,0.697,3,3,0.063,0.041,90,A,2018yCat.1345....0G,,,,,,,,,,,,,,,,,,,,,,,,,,,,J,12.313,0.021,Vega,2003yCat.2246....0C,,,C,J,H,11.66,0.019,Vega,2003yCat.2246....0C,,,C,H,K,11.475,0.018,Vega,2003yCat.2246....0C,,,C,K,,,,,,,,,,,,,,,,,,,3,
TYC 2897-1031-1,2610.01,Star,4,42,23.3353,70.59723042,40,59,1.509,40.9837525,14,14,0.0396,0.0316,90,A,O,2018yCat.1345....0G,70.59723071,40.98375276,0.303,-1.419,3,3,0.081,0.054,90,A,2018yCat.1345....0G,B,12.37,0.24,Vega,2000A&A...355L..27H,,,D,B,V,12.16,0.25,Vega,2000A&A...355L..27H,,,D,V,,,,,,,,,,J,11.886,0.019,Vega,2003yCat.2246....0C,,,C,J,H,11.839,0.021,Vega,2003yCat.2246....0C,,,C,H,K,11.806,0.023,Vega,2003yCat.2246....0C,,,C,K,,,,,,,,,,,,,,,,,,,0,
NVSS J044202+404855,2610.22,Radio,4,42,2.4,70.51,40,48,55,40.81527778,5,5,9000,9000,90,D,R,1998AJ....115.1693C,70.5099,40.8154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
Gaia DR2 203150754808423680,2625.77,PM*,4,42,31.7601,70.63233375,41,11,13.202,41.18700056,14,14,0.0689,0.0536,90,A,O,2018yCat.1345....0G,70.63233375,41.18700064,73.566,-70.258,3,3,0.139,0.09,90,A,2018yCat.1345....0G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
Gaia DR2 203797679962796928,2626.11,Star,4,36,33.1681,69.13820042,40,32,50.945,40.54748472,14,14,0.0501,0.0377,90,A,O,2018yCat.1345....0G,69.13820058,40.54748484,2.178,-2.622,3,3,0.118,0.064,90,A,2018yCat.1345....0G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2MASX J04372523+4028044,2626.45,Galaxy,4,37,25.234,69.35514167,40,28,4.41,40.46789167,7,7,,,,C,I,2006AJ....131.1163S,69.355142,40.467892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J,12.998,0.068,Vega,2006AJ....131.1163S,,,C,J,H,12.163,0.073,Vega,2006AJ....131.1163S,,,C,H,K,11.727,0.09,Vega,2006AJ....131.1163S,,,C,K,,,,,,,,,,,,,0.337,0.303,170,C,N,2006AJ....131.1163S,3,
TYC 2897-677-1,2630.23,Star,4,42,30.7602,70.6281675,41,4,46.824,41.07967333,14,14,0.0445,0.0348,90,A,O,2018yCat.1345....0G,70.62816769,41.07967352,16.51,-13.313,3,3,2.539,2.001,90,A,2016A&A...595A...2G,B,12.61,0.36,Vega,2000A&A...355L..27H,,,D,B,V,11.6,0.18,Vega,2000A&A...355L..27H,,,D,V,,,,,,,,,,J,9.811,0.02,Vega,2003yCat.2246....0C,,,C,J,H,9.427,0.021,Vega,2003yCat.2246....0C,,,C,H,K,9.303,0.014,Vega,2003yCat.2246....0C,,,C,K,v,-73.86,0.55,A,O,2018yCat.1345....0G,,,,,,,,,,,,,0,
Gaia DR2 203872442458019584,2630.48,Star,4,34,49.8071,68.70752958,41,2,21.237,41.0392325,14,14,0.058,0.0455,90,A,O,2018yCat.1345....0G,68.70752988,41.0392326,1.551,-4.081,3,3,0.125,0.084,90,A,2018yCat.1345....0G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
TYC 2884-717-1,2634.54,Star,4,38,8.404,69.53501667,40,26,1.385,40.43371806,14,14,0.0417,0.0329,90,A,O,2018yCat.1345....0G,69.53501679,40.43371824,1.486,-4.162,3,3,0.086,0.049,90,A,2018yCat.1345....0G,B,11.93,0.19,Vega,2000A&A...355L..27H,,,D,B,V,11.26,0.13,Vega,2000A&A...355L..27H,,,D,V,,,,,,,,,,J,10.612,0.02,Vega,2003yCat.2246....0C,,,C,J,H,10.385,0.019,Vega,2003yCat.2246....0C,,,C,H,K,10.284,0.017,Vega,2003yCat.2246....0C,,,C,K,,,,,,,,,,,,,,,,,,,0,
TYC 2888-872-1,2640.85,Star,4,37,9.2989,69.28874542,41,50,11.617,41.83656028,14,14,0.049,0.0354,90,A,O,2018yCat.1345....0G,69.28874559,41.83656051,1.784,-8.679,3,3,0.091,0.055,90,A,2018yCat.1345....0G,B,12.07,0.24,Vega,2000A&A...355L..27H,,,D,B,V,11.47,0.19,Vega,2000A&A...355L..27H,,,D,V,,,,,,,,,,J,10.018,0.019,Vega,2003yCat.2246....0C,,,C,J,H,9.731,0.017,Vega,2003yCat.2246....0C,,,C,H,K,9.681,0.015,Vega,2003yCat.2246....0C,,,C,K,v,14.03,0.97,B,O,2018yCat.1345....0G,,,,,,,,,,,,,0,
HD 276538,2642.41,Star,4,34,50.3936,68.70997333,41,0,42.885,41.0119125,14,14,0.0445,0.0389,90,A,O,2018yCat.1345....0G,68.70997369,41.01191274,-0.777,-13.583,3,3,5.817,4.401,90,A,2016A&A...595A...2G,B,11.48,0.15,Vega,2000A&A...355L..27H,,,D,B,V,10.23,0.07,Vega,2000A&A...355L..27H,,,D,V,,,,,,,,,,J,7.973,0.03,Vega,2003yCat.2246....0C,,,C,J,H,7.426,0.021,Vega,2003yCat.2246....0C,,,C,H,K,7.258,0.024,Vega,2003yCat.2246....0C,,,C,K,v,11.34,0.4,A,O,2018yCat.1345....0G,G5,E,1995A&AS..110..367N,,,,,,,,,,2,
NVSS J044129+414008,2648.36,Radio,4,41,29,70.37083333,41,40,8,41.66888889,5,5,9000,9000,90,D,R,1998AJ....115.1693C,70.371,41.669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
HD 276530,2651.24,Star,4,34,54.3638,68.72651583,41,22,22.446,41.37290167,14,14,0.0403,0.0321,90,A,O,2018yCat.1345....0G,68.72651604,41.37290182,-0.863,-11.932,3,3,0.101,0.057,90,A,2018yCat.1345....0G,B,11.32,0.09,Vega,2000A&A...355L..27H,,,D,B,V,10.88,0.09,Vega,2000A&A...355L..27H,,,D,V,,,,,,,,,,J,9.563,0.022,Vega,2003yCat.2246....0C,,,C,J,H,9.407,0.023,Vega,2003yCat.2246....0C,,,C,H,K,9.313,0.018,Vega,2003yCat.2246....0C,,,C,K,,,,,,,F0,E,1995A&AS..110..367N,,,,,,,,,,2,
Gaia DR2 203872446752566656,2651.99,Star,4,34,47.5839,68.69826625,41,2,41.275,41.04479861,14,14,0.0409,0.0322,90,A,O,2018yCat.1345....0G,68.69826637,41.04479884,1.88,-3.277,3,3,0.091,0.063,90,A,2018yCat.1345....0G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
HD 276604,2660.58,Star,4,36,59.0116,69.24588167,41,49,42.164,41.82837889,14,14,0.0549,0.0414,90,A,O,2018yCat.1345....0G,69.2458817,41.82837912,4.485,-13.849,3,3,0.102,0.059,90,A,2018yCat.1345....0G,B,10.51,0.07,Vega,2000A&A...355L..27H,,,D,B,V,9.23,0.03,Vega,2000A&A...355L..27H,,,D,V,,,,,,,,,,J,6.795,0.019,Vega,2003yCat.2246....0C,,,C,J,H,6.23,0.016,Vega,2003yCat.2246....0C,,,C,H,K,6.057,0.018,Vega,2003yCat.2246....0C,,,C,K,v,-52.08,0.18,A,O,2018yCat.1345....0G,K2,E,1995A&AS..110..367N,,,,,,,,,,2,
[SIK98] J004233.93+410456.8,2664.73,Nova,4,42,33.93,70.641375,41,4,56.8,41.08244444,6,6,,,,D,,1998IAUC.7028S...1S,70.64137,41.08244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
2MASX J04420646+4131069,2667.53,Galaxy,4,42,6.469,70.52695417,41,31,6.92,41.51858889,7,7,,,,C,I,2006AJ....131.1163S,70.526954,41.518589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J,14.102,0.116,Vega,2006AJ....131.1163S,,,D,J,H,13.269,0.118,Vega,2006AJ....131.1163S,,,D,H,K,13.007,0.173,Vega,2006AJ....131.1163S,,,D,K,,,,,,,,,,,,,0.203,0.159,65,C,N,2006AJ....131.1163S,3,
Gaia DR2 203887702476338432,2669.77,Star,4,34,43.5066,68.6812775,41,12,47.861,41.21329472,14,14,0.1087,0.0842,90,A,O,2018yCat.1345....0G,68.68127792,41.21329474,2.021,-2.923,3,3,0.231,0.15,90,A,2018yCat.1345....0G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
HD 276606,2674.21,Star,4,38,0.8517,69.50354875,41,53,31.342,41.89203944,14,14,0.0486,0.043,90,A,O,2018yCat.1345....0G,69.50354882,41.89203966,1.984,-4.393,3,3,0.095,0.066,90,A,2018yCat.1345....0G,B,9.5,0.03,Vega,2000A&A...355L..27H,,,D,B,V,9.35,0.04,Vega,2000A&A...355L..27H,,,D,V,,,,,,,,,,J,8.783,0.023,Vega,2003yCat.2246....0C,,,C,J,H,8.779,0.015,Vega,2003yCat.2246....0C,,,C,H,K,8.734,0.019,Vega,2003yCat.2246....0C,,,C,K,,,,,,,B8,E,1995A&AS..110..367N,,,,,,,,,,4,
HD 276615,2687.54,Star,4,35,16.8998,68.82041583,41,33,15.722,41.55436722,14,14,0.0624,0.0386,90,A,O,2018yCat.1345....0G,68.82041611,41.55436724,-15.965,-1.587,3,3,0.111,0.065,90,A,2018yCat.1345....0G,B,11.31,0.09,Vega,2000A&A...355L..27H,,,D,B,V,10.78,0.09,Vega,2000A&A...355L..27H,,,D,V,,,,,,,,,,J,9.492,0.023,Vega,2003yCat.2246....0C,,,C,J,H,9.228,0.021,Vega,2003yCat.2246....0C,,,C,H,K,9.119,0.018,Vega,2003yCat.2246....0C,,,C,K,v,-2.29,0.91,B,O,2018yCat.1345....0G,G0,E,1995A&AS..110..367N,,,,,,,,,,2,
ATO J070.2286+40.5456,2690.59,V*,4,40,54.8814,70.2286725,40,32,44.283,40.54563417,14,14,0.0276,0.0225,90,A,O,2018yCat.1345....0G,70.2286729,40.54563422,1.231,-1.715,3,3,0.066,0.037,90,A,2018yCat.1345....0G,,,,,,,,,,,,,,,,,,,R,13.973,0.11,Vega,2012yCat.1322....0Z,,,E,R,J,11.484,0.02,Vega,2003yCat.2246....0C,,,C,J,H,10.798,0.018,Vega,2003yCat.2246....0C,,,C,H,K,10.569,0.018,Vega,2003yCat.2246....0C,,,C,K,,,,,,,,,,,,,,,,,,,1,
GRB 111010C,2692.69,gammaBurst,4,39,,69.75,41,9,,41.15,2,2,6120000,6120000,0,E,G,2014ApJS..211...13V,69.8,41.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,
ATO J069.3013+40.4624,2695.07,V*,4,37,12.3259,69.30135792,40,27,44.998,40.46249944,14,14,0.0405,0.0309,90,A,O,2018yCat.1345....0G,69.3013581,40.4624996,2.678,-1.199,3,3,0.075,0.052,90,A,2018yCat.1345....0G,B,15.999,0.06,Vega,2012yCat.1322....0Z,,,D,B,V,14.351,0.09,Vega,2012yCat.1322....0Z,,,D,V,R,14.119,0.11,Vega,2012yCat.1322....0Z,,,E,R,J,11.266,0.02,Vega,2003yCat.2246....0C,,,C,J,H,10.486,0.019,Vega,2003yCat.2246....0C,,,C,H,K,10.274,0.016,Vega,2003yCat.2246....0C,,,C,K,v,28.67,4.69,C,O,2018yCat.1345....0G,,,,,,,,,,,,,1,
HD 276699,2700.23,Star,4,42,37.2038,70.65501583,41,14,26.176,41.24060444,14,14,0.045,0.0431,90,A,O,2018yCat.1345....0G,70.65501601,41.24060469,-6.619,-11.835,3,3,2.045,1.62,90,A,2016A&A...595A...2G,B,11.81,0.15,Vega,2000A&A...355L..27H,,,D,B,V,10.95,0.09,Vega,2000A&A...355L..27H,,,D,V,,,,,,,,,,J,9.819,0.02,Vega,2003yCat.2246....0C,,,C,J,H,9.632,0.021,Vega,2003yCat.2246....0C,,,C,H,K,9.508,0.014,Vega,2003yCat.2246....0C,,,C,K,,,,,,,F8,E,1995A&AS..110..367N,,,,,,,,,,2,
Gaia DR2 203797538225377792,2705.88,Star,4,36,27.76,69.11566667,40,31,55.905,40.53219583,14,14,0.0554,0.0391,90,A,O,2018yCat.1345....0G,69.11566681,40.53219584,1.571,-3.721,3,3,0.114,0.062,90,A,2018yCat.1345....0G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
